,review_month,dominant_topic,sentiment_pred,count,share
250,2010-10-01,4,positive,4,0.6666666666666666
251,2010-10-01,6,positive,2,1.0
252,2010-10-01,8,positive,5,1.0
253,2010-11-01,0,negative,3,0.5
254,2010-11-01,0,neutral,1,0.16666666666666666
255,2010-11-01,0,positive,2,0.3333333333333333
256,2010-11-01,2,positive,2,1.0
257,2010-11-01,4,neutral,1,0.25
258,2010-11-01,4,positive,3,0.75
259,2010-11-01,6,positive,2,1.0
260,2010-11-01,8,negative,1,0.5
261,2010-11-01,8,positive,1,0.5
262,2010-12-01,0,negative,1,0.125
263,2010-12-01,0,neutral,1,0.125
264,2010-12-01,0,positive,6,0.75
265,2010-12-01,2,neutral,2,1.0
266,2010-12-01,4,positive,3,1.0
267,2010-12-01,6,positive,3,1.0
268,2010-12-01,8,neutral,1,0.2
269,2010-12-01,8,positive,4,0.8
270,2011-01-01,0,negative,2,0.2
271,2011-01-01,0,neutral,4,0.4
272,2011-01-01,0,positive,4,0.4
273,2011-01-01,2,negative,1,0.3333333333333333
274,2011-01-01,2,positive,2,0.6666666666666666
275,2011-01-01,4,negative,1,0.14285714285714285
276,2011-01-01,4,positive,6,0.8571428571428571
277,2011-01-01,6,neutral,1,0.14285714285714285
278,2011-01-01,6,positive,6,0.8571428571428571
279,2011-01-01,8,negative,1,0.14285714285714285
280,2011-01-01,8,positive,6,0.8571428571428571
281,2011-02-01,0,negative,1,0.07692307692307693
282,2011-02-01,0,neutral,3,0.23076923076923078
283,2011-02-01,0,positive,9,0.6923076923076923
284,2011-02-01,2,neutral,1,1.0
285,2011-02-01,4,neutral,1,0.5
286,2011-02-01,4,positive,1,0.5
287,2011-02-01,6,neutral,1,0.16666666666666666
288,2011-02-01,6,positive,5,0.8333333333333334
289,2011-02-01,8,positive,2,1.0
290,2011-03-01,0,negative,2,0.15384615384615385
291,2011-03-01,0,neutral,1,0.07692307692307693
292,2011-03-01,0,positive,10,0.7692307692307693
293,2011-03-01,2,positive,3,1.0
294,2011-03-01,4,neutral,1,0.3333333333333333
295,2011-03-01,4,positive,2,0.6666666666666666
296,2011-03-01,6,negative,1,0.25
297,2011-03-01,6,positive,3,0.75
298,2011-03-01,8,positive,4,1.0
299,2011-04-01,0,negative,1,0.09090909090909091
300,2011-04-01,0,neutral,1,0.09090909090909091
301,2011-04-01,0,positive,9,0.8181818181818182
302,2011-04-01,2,negative,1,0.25
303,2011-04-01,2,positive,3,0.75
304,2011-04-01,4,neutral,2,0.4
305,2011-04-01,4,positive,3,0.6
306,2011-04-01,6,positive,3,1.0
307,2011-04-01,8,positive,1,1.0
308,2011-05-01,0,negative,2,0.14285714285714285
309,2011-05-01,0,neutral,2,0.14285714285714285
310,2011-05-01,0,positive,10,0.7142857142857143
311,2011-05-01,2,positive,1,1.0
312,2011-05-01,4,positive,6,1.0
313,2011-05-01,6,negative,4,0.4
314,2011-05-01,6,positive,6,0.6
315,2011-05-01,8,negative,1,0.25
316,2011-05-01,8,positive,3,0.75
317,2011-06-01,0,negative,4,0.3333333333333333
318,2011-06-01,0,neutral,1,0.08333333333333333
319,2011-06-01,0,positive,7,0.5833333333333334
320,2011-06-01,2,negative,3,1.0
321,2011-06-01,4,negative,1,0.14285714285714285
322,2011-06-01,4,positive,6,0.8571428571428571
323,2011-06-01,6,positive,2,1.0
324,2011-06-01,8,positive,1,1.0
325,2011-07-01,0,negative,1,0.1
326,2011-07-01,0,neutral,2,0.2
327,2011-07-01,0,positive,7,0.7
328,2011-07-01,2,negative,1,0.2
329,2011-07-01,2,positive,4,0.8
330,2011-07-01,4,negative,1,0.16666666666666666
331,2011-07-01,4,neutral,1,0.16666666666666666
332,2011-07-01,4,positive,4,0.6666666666666666
333,2011-07-01,6,neutral,1,0.2
334,2011-07-01,6,positive,4,0.8
335,2011-07-01,8,positive,2,1.0
336,2011-08-01,0,negative,3,0.21428571428571427
337,2011-08-01,0,neutral,4,0.2857142857142857
338,2011-08-01,0,positive,7,0.5
339,2011-08-01,2,positive,2,1.0
340,2011-08-01,4,neutral,1,0.2
341,2011-08-01,4,positive,4,0.8
342,2011-08-01,6,neutral,1,0.2
343,2011-08-01,6,positive,4,0.8
344,2011-08-01,8,positive,3,1.0
345,2011-09-01,0,negative,3,0.3333333333333333
346,2011-09-01,0,neutral,3,0.3333333333333333
347,2011-09-01,0,positive,3,0.3333333333333333
348,2011-09-01,2,positive,3,1.0
349,2011-09-01,4,negative,3,0.25
350,2011-09-01,4,neutral,1,0.08333333333333333
351,2011-09-01,4,positive,8,0.6666666666666666
352,2011-09-01,6,negative,3,0.6
353,2011-09-01,6,positive,2,0.4
354,2011-09-01,8,positive,1,1.0
355,2011-10-01,0,negative,2,0.25
356,2011-10-01,0,neutral,2,0.25
357,2011-10-01,0,positive,4,0.5
358,2011-10-01,2,neutral,2,0.5
359,2011-10-01,2,positive,2,0.5
360,2011-10-01,4,negative,1,0.1
361,2011-10-01,4,neutral,1,0.1
362,2011-10-01,4,positive,8,0.8
363,2011-10-01,6,negative,2,0.3333333333333333
364,2011-10-01,6,positive,4,0.6666666666666666
365,2011-10-01,8,positive,1,1.0
366,2011-11-01,0,negative,2,0.2857142857142857
367,2011-11-01,0,positive,5,0.7142857142857143
368,2011-11-01,2,positive,3,1.0
369,2011-11-01,4,negative,1,0.16666666666666666
370,2011-11-01,4,positive,5,0.8333333333333334
371,2011-11-01,6,negative,1,0.16666666666666666
372,2011-11-01,6,neutral,2,0.3333333333333333
373,2011-11-01,6,positive,3,0.5
374,2011-11-01,8,positive,2,1.0
375,2011-12-01,0,negative,3,0.1875
376,2011-12-01,0,neutral,1,0.0625
377,2011-12-01,0,positive,12,0.75
378,2011-12-01,2,positive,1,1.0
379,2011-12-01,4,negative,3,0.2727272727272727
380,2011-12-01,4,positive,8,0.7272727272727273
381,2011-12-01,6,negative,1,0.16666666666666666
382,2011-12-01,6,neutral,1,0.16666666666666666
383,2011-12-01,6,positive,4,0.6666666666666666
384,2011-12-01,8,positive,7,1.0
385,2012-01-01,0,negative,3,0.23076923076923078
386,2012-01-01,0,neutral,3,0.23076923076923078
387,2012-01-01,0,positive,7,0.5384615384615384
388,2012-01-01,2,negative,2,0.4
389,2012-01-01,2,positive,3,0.6
390,2012-01-01,4,positive,6,1.0
391,2012-01-01,6,negative,4,0.2857142857142857
392,2012-01-01,6,neutral,2,0.14285714285714285
393,2012-01-01,6,positive,8,0.5714285714285714
394,2012-01-01,8,negative,2,0.5
395,2012-01-01,8,positive,2,0.5
396,2012-02-01,0,negative,3,0.17647058823529413
397,2012-02-01,0,neutral,4,0.23529411764705882
398,2012-02-01,0,positive,10,0.5882352941176471
399,2012-02-01,2,neutral,1,0.2
400,2012-02-01,2,positive,4,0.8
401,2012-02-01,4,negative,3,0.375
402,2012-02-01,4,neutral,1,0.125
403,2012-02-01,4,positive,4,0.5
404,2012-02-01,6,negative,1,0.16666666666666666
405,2012-02-01,6,positive,5,0.8333333333333334
406,2012-02-01,8,positive,4,1.0
407,2012-03-01,0,negative,5,0.38461538461538464
408,2012-03-01,0,neutral,5,0.38461538461538464
409,2012-03-01,0,positive,3,0.23076923076923078
410,2012-03-01,2,negative,1,1.0
411,2012-03-01,4,neutral,2,0.2
412,2012-03-01,4,positive,8,0.8
413,2012-03-01,6,negative,1,0.2
414,2012-03-01,6,positive,4,0.8
415,2012-03-01,8,positive,4,1.0
416,2012-04-01,0,negative,3,0.1875
417,2012-04-01,0,neutral,5,0.3125
418,2012-04-01,0,positive,8,0.5
419,2012-04-01,2,neutral,1,0.2
420,2012-04-01,2,positive,4,0.8
421,2012-04-01,4,negative,1,0.25
422,2012-04-01,4,positive,3,0.75
423,2012-04-01,6,positive,1,1.0
424,2012-04-01,8,negative,1,0.25
425,2012-04-01,8,positive,3,0.75
426,2012-05-01,0,negative,2,0.14285714285714285
427,2012-05-01,0,neutral,3,0.21428571428571427
428,2012-05-01,0,positive,9,0.6428571428571429
429,2012-05-01,2,neutral,1,0.2
430,2012-05-01,2,positive,4,0.8
431,2012-05-01,4,negative,1,0.16666666666666666
432,2012-05-01,4,positive,5,0.8333333333333334
433,2012-05-01,6,neutral,1,0.16666666666666666
434,2012-05-01,6,positive,5,0.8333333333333334
435,2012-05-01,8,neutral,1,0.16666666666666666
436,2012-05-01,8,positive,5,0.8333333333333334
437,2012-06-01,0,negative,4,0.19047619047619047
438,2012-06-01,0,neutral,3,0.14285714285714285
439,2012-06-01,0,positive,14,0.6666666666666666
440,2012-06-01,2,negative,3,0.75
441,2012-06-01,2,positive,1,0.25
442,2012-06-01,4,negative,1,0.125
443,2012-06-01,4,neutral,2,0.25
444,2012-06-01,4,positive,5,0.625
445,2012-06-01,6,negative,1,0.14285714285714285
446,2012-06-01,6,neutral,1,0.14285714285714285
447,2012-06-01,6,positive,5,0.7142857142857143
448,2012-06-01,8,negative,1,0.2
449,2012-06-01,8,positive,4,0.8
450,2012-07-01,0,negative,2,0.18181818181818182
451,2012-07-01,0,positive,9,0.8181818181818182
452,2012-07-01,2,negative,4,0.5
453,2012-07-01,2,positive,4,0.5
454,2012-07-01,4,positive,8,1.0
455,2012-07-01,6,negative,2,0.4
456,2012-07-01,6,neutral,2,0.4
457,2012-07-01,6,positive,1,0.2
458,2012-07-01,8,positive,5,1.0
459,2012-08-01,0,negative,5,0.35714285714285715
460,2012-08-01,0,neutral,3,0.21428571428571427
461,2012-08-01,0,positive,6,0.42857142857142855
462,2012-08-01,2,negative,1,0.5
463,2012-08-01,2,neutral,1,0.5
464,2012-08-01,4,negative,1,0.125
465,2012-08-01,4,positive,7,0.875
466,2012-08-01,6,negative,2,0.25
467,2012-08-01,6,positive,6,0.75
468,2012-08-01,8,positive,5,1.0
469,2012-09-01,0,negative,6,0.2857142857142857
470,2012-09-01,0,neutral,3,0.14285714285714285
471,2012-09-01,0,positive,12,0.5714285714285714
472,2012-09-01,2,negative,1,0.25
473,2012-09-01,2,positive,3,0.75
474,2012-09-01,4,negative,1,0.25
475,2012-09-01,4,positive,3,0.75
476,2012-09-01,6,negative,1,0.125
477,2012-09-01,6,neutral,2,0.25
478,2012-09-01,6,positive,5,0.625
479,2012-09-01,8,positive,3,1.0
480,2012-10-01,0,negative,6,0.3333333333333333
481,2012-10-01,0,neutral,4,0.2222222222222222
482,2012-10-01,0,positive,8,0.4444444444444444
483,2012-10-01,2,negative,1,0.2
484,2012-10-01,2,neutral,1,0.2
485,2012-10-01,2,positive,3,0.6
486,2012-10-01,4,negative,3,0.375
487,2012-10-01,4,positive,5,0.625
488,2012-10-01,6,negative,4,0.3076923076923077
489,2012-10-01,6,neutral,3,0.23076923076923078
490,2012-10-01,6,positive,6,0.46153846153846156
491,2012-10-01,8,positive,4,1.0
492,2012-11-01,0,negative,6,0.2727272727272727
493,2012-11-01,0,neutral,7,0.3181818181818182
494,2012-11-01,0,positive,9,0.4090909090909091
495,2012-11-01,2,negative,5,0.625
496,2012-11-01,2,neutral,2,0.25
497,2012-11-01,2,positive,1,0.125
498,2012-11-01,4,neutral,1,0.16666666666666666
499,2012-11-01,4,positive,5,0.8333333333333334
500,2012-11-01,6,neutral,1,0.14285714285714285
